Species	Extant	SampT
t1	FALSE	33.588596675463464
t6	TRUE	11.349417169495823
t6	TRUE	5.679829956896967
t23	FALSE	31.06589171813698
t29	FALSE	43.8788977227167
t41	TRUE	31.617313285335598
t55	FALSE	38.65471847743745
t62	FALSE	44.639505612861626
t73	FALSE	30.820952302715042
t78	TRUE	31.780091646459326
t78	TRUE	13.74542634752737
t79	FALSE	31.534437742129867
t82	TRUE	6.476725899059986
t88	FALSE	15.926748145107808
t90	TRUE	27.245076915034787
t90	TRUE	13.247277430975572
t91	TRUE	17.170892033511535
t94	TRUE	12.071903996417703
t107	TRUE	1.2126412428854678
t123	FALSE	25.65683471957351
t125	TRUE	14.089068058778722
t130	TRUE	9.549913669375627
t136	FALSE	25.642795744748256
t137	TRUE	2.9564607073276505
t141	TRUE	26.193383397094323
t142	TRUE	17.83645942856313
t152	TRUE	25.32167551560113
t152	TRUE	9.898602025739379
t164	TRUE	22.94545949045701
t174	TRUE	15.51044085855655
t176	TRUE	24.516773809034746
t177	TRUE	17.619045887126305
t182	TRUE	25.504815839871696
t182	TRUE	17.199642612308196
t183	FALSE	14.512857290512102
t183	FALSE	9.867192033115217
t190	TRUE	1.0547525352983484
t206	TRUE	3.425193752445594
t213	FALSE	5.421014496545681
t246	FALSE	10.597563392471955
t263	TRUE	13.131293440135948
t290	TRUE	5.52451928359055
t292	TRUE	15.444184736592689
t296	FALSE	13.420648672909238
t296	FALSE	11.581843239546515
t300	FALSE	10.527709219686912
t300	FALSE	4.74220532932155
t305	FALSE	5.235989701071034
t343	TRUE	2.4185753528851137
t350	FALSE	4.5978767599574155
t351	FALSE	6.949815641914981
t361	TRUE	2.369706911114619
t384	TRUE	19.03283837602801
t384	TRUE	7.58845419043071
t393	TRUE	4.269143406455157
t407	TRUE	7.52691066524379
t408	TRUE	5.560873944089266
t408	TRUE	2.1303537597511735
t419	TRUE	10.167809779099457
t427	TRUE	13.912415238318744
t427	TRUE	6.596787380276027
t431	TRUE	12.993166630352178
t433	TRUE	1.1262810600425865
t437	TRUE	1.1477939485575348
t459	TRUE	3.3055960283411707
t469	TRUE	2.8304264358553723
t484	TRUE	10.4568993181541
t484	TRUE	6.567705699483994
t505	TRUE	5.53047740219624
t548	TRUE	4.067442883963039
t580	TRUE	8.112995360254573
t618	TRUE	3.0147478090367628
t648	TRUE	3.9741107948325123
t659	TRUE	0.5207159265685704
