Species	Extant	SampT
t1	FALSE	62.07163220325771
t1	FALSE	32.23768712457174
t2	FALSE	49.950048350158376
t5	FALSE	33.89980910706209
t7	TRUE	0.73947083727424
t27	FALSE	46.699907168623675
t30	FALSE	53.18726530583185
t31	FALSE	22.34116004175216
t42	TRUE	37.72186590213704
t43	FALSE	23.88756255474317
t44	FALSE	29.62774120849936
t54	TRUE	30.215144488268898
t65	TRUE	42.7472106879888
t67	TRUE	0.8193225527074617
t71	TRUE	5.059817187120331
t77	FALSE	4.564561586704727
t85	FALSE	14.042771647956314
t86	FALSE	27.091582963765788
t89	TRUE	40.82357938814059
t144	TRUE	0.22718201982155506
t146	TRUE	2.157885252140545
t155	TRUE	16.08346039490199
t158	TRUE	5.7821535482470665
t159	TRUE	6.3653005476003415
t162	TRUE	5.400927285078765
t165	TRUE	3.6007495730946033
t167	TRUE	19.05560868766203
t168	TRUE	17.46328438634299
t192	TRUE	1.0297464909520642
t237	TRUE	2.3529099595876914
t244	TRUE	11.157737638420102
t252	TRUE	0.9239415876965893
t257	TRUE	17.07797828513789
t267	TRUE	1.1078133169395556
t282	TRUE	10.689371076897345
t295	TRUE	7.137762055316088
t308	TRUE	7.041278868089336
t309	TRUE	14.636119421624073
t325	TRUE	3.767884826211514
t346	TRUE	18.35450022071285
t367	TRUE	7.031580553562534
t368	FALSE	15.58244531898309
t369	FALSE	11.320132408455791
t374	TRUE	8.431618837820338
t376	TRUE	9.893279092380723
t378	TRUE	6.432316503008963
t391	TRUE	0.6567413326455664
t408	TRUE	1.838845718686116
t432	TRUE	5.484919160506777
t435	TRUE	4.410486356360849
t444	TRUE	1.826763189394967
t447	TRUE	4.938760431642962
t454	TRUE	3.8906389222778586
t459	TRUE	1.9037912125885015
t465	TRUE	2.5102375554455136
t499	FALSE	4.71495686807971
t510	TRUE	0.21210604520661036
t531	TRUE	4.804577531791125
t554	TRUE	0.3902068370129399
t592	TRUE	3.754453865288383
t598	TRUE	2.075541801975305
t599	FALSE	3.899011927958128
t606	TRUE	1.1084880599423599
