Species	Extant	SampT
t5	FALSE	81.8466238121476
t20	FALSE	48.878757842726664
t27	FALSE	27.133256316229165
t27	FALSE	23.954614297843847
t31	FALSE	32.30676388371961
t31	FALSE	20.83342143338399
t32	FALSE	33.84872299525742
t39	FALSE	7.018102911153079
t40	FALSE	53.86299145529631
t42	TRUE	12.075768963226338
t53	FALSE	17.61921910533283
t56	TRUE	17.469980179331102
t76	TRUE	11.017060732861182
t86	FALSE	32.91542035378117
t107	TRUE	19.921223670949473
t107	TRUE	12.905978682224884
t108	FALSE	16.98845633771859
t116	TRUE	39.979039064905024
t116	TRUE	19.568394755309797
t117	TRUE	11.984871554803846
t117	TRUE	9.87057762775197
t136	TRUE	2.630437240363335
t138	TRUE	26.89195496323991
t138	TRUE	25.452122247307656
t140	TRUE	28.351637661715827
t141	FALSE	16.315503240922368
t152	TRUE	3.7730321218143104
t193	TRUE	19.458462426418052
t197	TRUE	9.653610031165712
t214	FALSE	25.68899485285435
t224	TRUE	9.91459831516049
t224	TRUE	0.14760422440967602
t225	TRUE	9.291152480337757
t254	TRUE	16.92401198659097
t261	TRUE	12.819116305876221
t262	FALSE	25.809438999742866
t278	TRUE	10.842973961139961
t284	FALSE	17.338777856990376
t294	FALSE	6.850291855544938
t299	FALSE	17.374705726314517
t302	TRUE	7.408601583021294
t311	TRUE	6.826660965157103
t315	TRUE	6.4847987296104606
t319	FALSE	14.749002333676017
t342	FALSE	3.6126981766358455
t363	FALSE	18.034188096439195
t387	TRUE	0.7185155372607284
t398	TRUE	0.09163236287713517
t432	FALSE	11.938173974674015
t440	TRUE	3.02648283497831
t444	TRUE	6.737646728959405
t449	FALSE	11.03853016129925
t452	FALSE	3.1369709143263123
t456	TRUE	7.315693183645692
t462	TRUE	12.135541946553403
t470	TRUE	3.3064378283067697
t505	TRUE	1.677181448428641
t508	TRUE	7.55689390032299
t514	TRUE	10.52745589306241
t534	TRUE	5.504764038446865
t556	TRUE	9.10542159515515
t559	TRUE	1.4634290807180577
t590	TRUE	2.782463458837043
t617	TRUE	1.7300460155555726
t626	TRUE	4.855109367277919
t632	TRUE	3.768088185950319
t756	TRUE	5.367359640738755
t789	TRUE	1.6148522621768677
