Species	Extant	SampT
t1	FALSE	25.94217442699089
t5	FALSE	10.348766535863547
t11	FALSE	37.648463539482904
t16	TRUE	5.035524760190199
t19	TRUE	26.67674137113501
t19	TRUE	20.45239490602156
t21	FALSE	31.161340490557336
t22	TRUE	20.857968666648382
t32	TRUE	15.05055983839462
t38	TRUE	21.140521800330767
t40	FALSE	27.965756153419946
t59	FALSE	19.823398439052582
t71	TRUE	0.26757049437166813
t72	FALSE	22.76916562934983
t75	FALSE	8.872884117037515
t87	TRUE	8.481883554126483
t98	TRUE	9.855288791189608
t99	TRUE	3.5288187051098845
t104	FALSE	3.8705330454379094
t107	TRUE	5.597138877885342
t109	FALSE	16.982482933339114
t112	TRUE	2.5687030732377565
t120	TRUE	7.226583636051586
t121	TRUE	17.80141570982026
t126	TRUE	2.528583846163798
t126	TRUE	0.1031406979233509
t144	FALSE	6.195306417726243
t149	TRUE	0.911805603929551
t156	TRUE	8.4287273974832
t162	TRUE	0.17084368123657612
t167	TRUE	14.746263119741556
t171	TRUE	2.3237598066434373
t181	TRUE	11.087676828467792
t188	TRUE	2.725328656648344
t193	TRUE	3.495243445338403
t200	TRUE	14.025938677270787
t214	TRUE	8.176156765723874
t243	TRUE	7.487462362321594
t282	TRUE	3.278664548209832
t324	TRUE	1.6202098362304582
t360	TRUE	6.754010207361333
t360	TRUE	3.584806440118186
t376	TRUE	2.025388681439452
t387	TRUE	7.321239534750575
t397	TRUE	8.603198575559958
t433	TRUE	0.9151559621017356
t449	TRUE	4.25364236949369
t462	TRUE	3.0816487189273403
t474	TRUE	3.2822326031634645
t491	TRUE	0.9122751587129727
t522	TRUE	2.840386661974975
