Species	Extant	SampT
t1	FALSE	83.54842126754528
t1	FALSE	79.97831843032144
t2	FALSE	83.47300127428684
t3	FALSE	62.7459372337062
t3	FALSE	56.64533043145173
t3	FALSE	49.84787068194681
t5	TRUE	43.54567304236009
t5	TRUE	36.07035138626709
t5	TRUE	23.735684472891833
t5	TRUE	6.440569395664738
t5	TRUE	6.407666393089698
t6	TRUE	40.83766829162862
t6	TRUE	18.652915880328422
t6	TRUE	16.792045030987268
t6	TRUE	9.232296764193535
t7	TRUE	27.50010381477179
t7	TRUE	24.973906418553014
t7	TRUE	9.350051088827158
t8	FALSE	33.020294038449094
t8	FALSE	20.160594237838552
t9	FALSE	32.02206001133784
t10	FALSE	26.074273281455348
t10	FALSE	15.936833228212137
t11	FALSE	17.108620162614784
t12	TRUE	6.059331913886112
t18	FALSE	28.309369509017188
t21	TRUE	0.6939920625254246
t22	TRUE	4.591615921332931
t24	TRUE	31.360547965115828
t24	TRUE	23.93690857400655
t28	FALSE	33.32155702514849
t28	FALSE	21.991333410798532
t29	FALSE	18.667827222502083
t30	TRUE	14.755668192314005
t30	TRUE	10.014296232785071
t33	FALSE	31.715436013326084
t36	TRUE	5.271964618517259
t40	TRUE	3.518793664654808
t42	TRUE	0.015756383320407963
t46	TRUE	17.096086523789012
t49	FALSE	11.133339060969035
t51	TRUE	19.4134655276966
t54	TRUE	15.328975235675543
t59	TRUE	12.35120215005783
t59	TRUE	10.900773969661273
t63	TRUE	14.91898144261475
t63	TRUE	3.7260093227171467
t64	FALSE	8.288980472288387
t66	TRUE	9.97558567189877
t70	TRUE	4.221194151973691
t73	FALSE	18.373034931351526
t75	TRUE	10.836481430298562
t75	TRUE	8.837779653603505
t77	TRUE	7.212639401034579
t77	TRUE	0.4593380692611788
t80	FALSE	12.199477519656625
t80	FALSE	6.19166621794102
t81	TRUE	8.392041292595223
t81	TRUE	7.262410579235009
t82	TRUE	4.918712852145092
t82	TRUE	3.3963118117251554
t83	TRUE	9.717965832942198
t83	TRUE	8.08192242778189
t83	TRUE	3.322287955352138
t86	TRUE	5.350835335462264
t97	TRUE	9.893720238149342
t97	TRUE	2.767906873166737
t105	TRUE	5.295724716377464
t107	TRUE	13.663107386663356
t107	TRUE	10.372511229350962
t108	TRUE	8.269547330828033
t110	TRUE	4.411484517870562
t117	TRUE	9.315898920972927
t117	TRUE	7.670836709071978
t120	TRUE	3.5682157974787856
t131	TRUE	1.4293753368045543
t136	TRUE	0.9263772251850497
t139	TRUE	3.3002986022175094
t147	TRUE	0.7149630757984653
