Species	Extant	SampT
t6	TRUE	56.01239318098442
t6	TRUE	19.361670148331086
t11	FALSE	29.383787439939283
t16	FALSE	9.84253614128616
t16	FALSE	7.42421290756252
t20	FALSE	25.310449627420738
t22	TRUE	19.384136725334166
t25	TRUE	48.448314741580845
t37	FALSE	28.876918438265534
t40	TRUE	12.512933476144866
t41	TRUE	2.7704550872450966
t43	FALSE	5.071905848847024
t48	FALSE	29.39540521195189
t52	FALSE	12.875945784192993
t53	FALSE	28.54568871744179
t53	FALSE	13.866707629736766
t58	FALSE	34.28443672554598
t60	FALSE	27.36884149389634
t67	TRUE	0.4115528561135875
t87	TRUE	2.207797446645131
t89	FALSE	27.37654728424006
t90	TRUE	0.6057827561877787
t110	FALSE	15.030763828603227
t117	FALSE	30.713485333264074
t125	TRUE	10.2940202170291
t126	TRUE	8.314058533895604
t133	TRUE	9.542327383742744
t133	TRUE	3.2661836446582697
t135	TRUE	22.9335576794102
t144	FALSE	31.059271961794735
t148	TRUE	14.330471331795522
t149	TRUE	3.4336979244689445
t154	FALSE	17.7572071551824
t175	TRUE	14.330644436554294
t175	TRUE	7.713096864895206
t184	FALSE	15.137994574571707
t186	TRUE	1.1514809226642626
t196	TRUE	4.148259609795076
t207	TRUE	14.688166875188159
t221	FALSE	8.605345934115931
t222	TRUE	6.178025015840063
t259	TRUE	13.256418183298678
t285	FALSE	13.416476231921408
t287	TRUE	20.38360392162607
t341	TRUE	2.6328664149270935
t342	TRUE	1.1331667953111122
t353	FALSE	20.255887775477873
t354	FALSE	1.1031886441343914
t373	FALSE	10.183642299747646
t377	TRUE	4.174378631349768
t387	TRUE	13.45218142981986
t393	TRUE	13.252004270457633
t394	TRUE	16.328028888501393
t395	TRUE	5.703517441953437
t397	TRUE	12.732711879173536
t402	TRUE	2.447685823613412
t403	FALSE	13.231951979216007
t403	FALSE	10.17105309594777
t421	TRUE	5.222452017754762
t421	TRUE	0.2240845642511431
t422	FALSE	16.132730885864106
t424	TRUE	0.39655141507233793
t437	TRUE	1.5008739825775024
t439	TRUE	0.36241606590050424
t446	TRUE	7.912142918778926
t460	FALSE	7.622051792806843
t470	TRUE	1.2721230672767945
t499	FALSE	11.350213255000838
t547	TRUE	2.1320887852485555
t552	TRUE	8.71259084478666
t606	TRUE	2.0591640099849684
t607	TRUE	0.022924934242070094
t611	TRUE	2.00193642518272
t623	TRUE	0.1765584073719424
t670	TRUE	0.9087498813151029
t683	TRUE	0.9342354357095957
